ImpositionH,Power,Intimate,Kin,StanceH,StanceS,Speaker,rowid
,Speaker,/,Yes,Pos,Pos,?,1
,Speaker,/,Yes,Pos,Q,?,2
,Speaker,/,Yes,Pos,,?,3
,Speaker,/,Yes,Neg,Pos,?,4
,Speaker,/,Yes,Neg,Q,?,5
,Speaker,/,Yes,Neg,,?,6
,Speaker,/,Yes,Q,Pos,?,7
,Speaker,/,Yes,Q,Q,?,8
,Speaker,/,Yes,Q,,?,9
,Speaker,/,Yes,,Pos,?,10
,Speaker,/,Yes,,Q,?,11
,Speaker,/,Yes,,,?,12
,Speaker,/,,Pos,Pos,?,13
,Speaker,/,,Pos,Q,?,14
,Speaker,/,,Pos,,?,15
,Speaker,/,,Neg,Pos,?,16
,Speaker,/,,Neg,Q,?,17
,Speaker,/,,Neg,,?,18
,Speaker,/,,Q,Pos,?,19
,Speaker,/,,Q,Q,?,20
,Speaker,/,,Q,,?,21
,Speaker,/,,,Pos,?,22
,Speaker,/,,,Q,?,23
,Speaker,/,,,,?,24
,Speaker,Y,Yes,Pos,Pos,?,25
,Speaker,Y,Yes,Pos,Q,?,26
,Speaker,Y,Yes,Pos,,?,27
,Speaker,Y,Yes,Neg,Pos,?,28
,Speaker,Y,Yes,Neg,Q,?,29
,Speaker,Y,Yes,Neg,,?,30
,Speaker,Y,Yes,Q,Pos,?,31
,Speaker,Y,Yes,Q,Q,?,32
,Speaker,Y,Yes,Q,,?,33
,Speaker,Y,Yes,,Pos,?,34
,Speaker,Y,Yes,,Q,?,35
,Speaker,Y,Yes,,,?,36
,Speaker,Y,,Pos,Pos,?,37
,Speaker,Y,,Pos,Q,?,38
,Speaker,Y,,Pos,,?,39
,Speaker,Y,,Neg,Pos,?,40
,Speaker,Y,,Neg,Q,?,41
,Speaker,Y,,Neg,,?,42
,Speaker,Y,,Q,Pos,?,43
,Speaker,Y,,Q,Q,?,44
,Speaker,Y,,Q,,?,45
,Speaker,Y,,,Pos,?,46
,Speaker,Y,,,Q,?,47
,Speaker,Y,,,,?,48
,Speaker,N,Yes,Pos,Pos,?,49
,Speaker,N,Yes,Pos,Q,?,50
,Speaker,N,Yes,Pos,,?,51
,Speaker,N,Yes,Neg,Pos,?,52
,Speaker,N,Yes,Neg,Q,?,53
,Speaker,N,Yes,Neg,,?,54
,Speaker,N,Yes,Q,Pos,?,55
,Speaker,N,Yes,Q,Q,?,56
,Speaker,N,Yes,Q,,?,57
,Speaker,N,Yes,,Pos,?,58
,Speaker,N,Yes,,Q,?,59
,Speaker,N,Yes,,,?,60
,Speaker,N,,Pos,Pos,?,61
,Speaker,N,,Pos,Q,?,62
,Speaker,N,,Pos,,?,63
,Speaker,N,,Neg,Pos,?,64
,Speaker,N,,Neg,Q,?,65
,Speaker,N,,Neg,,?,66
,Speaker,N,,Q,Pos,?,67
,Speaker,N,,Q,Q,?,68
,Speaker,N,,Q,,?,69
,Speaker,N,,,Pos,?,70
,Speaker,N,,,Q,?,71
,Speaker,N,,,,?,72
,Equal,/,Yes,Pos,Pos,?,73
,Equal,/,Yes,Pos,Q,?,74
,Equal,/,Yes,Pos,,?,75
,Equal,/,Yes,Neg,Pos,?,76
,Equal,/,Yes,Neg,Q,?,77
,Equal,/,Yes,Neg,,?,78
,Equal,/,Yes,Q,Pos,?,79
,Equal,/,Yes,Q,Q,?,80
,Equal,/,Yes,Q,,?,81
,Equal,/,Yes,,Pos,?,82
,Equal,/,Yes,,Q,?,83
,Equal,/,Yes,,,?,84
,Equal,/,,Pos,Pos,?,85
,Equal,/,,Pos,Q,?,86
,Equal,/,,Pos,,?,87
,Equal,/,,Neg,Pos,?,88
,Equal,/,,Neg,Q,?,89
,Equal,/,,Neg,,?,90
,Equal,/,,Q,Pos,?,91
,Equal,/,,Q,Q,?,92
,Equal,/,,Q,,?,93
,Equal,/,,,Pos,?,94
,Equal,/,,,Q,?,95
,Equal,/,,,,?,96
,Equal,Y,Yes,Pos,Pos,?,97
,Equal,Y,Yes,Pos,Q,?,98
,Equal,Y,Yes,Pos,,?,99
,Equal,Y,Yes,Neg,Pos,?,100
,Equal,Y,Yes,Neg,Q,?,101
,Equal,Y,Yes,Neg,,?,102
,Equal,Y,Yes,Q,Pos,?,103
,Equal,Y,Yes,Q,Q,?,104
,Equal,Y,Yes,Q,,?,105
,Equal,Y,Yes,,Pos,?,106
,Equal,Y,Yes,,Q,?,107
,Equal,Y,Yes,,,?,108
,Equal,Y,,Pos,Pos,?,109
,Equal,Y,,Pos,Q,?,110
,Equal,Y,,Pos,,?,111
,Equal,Y,,Neg,Pos,?,112
,Equal,Y,,Neg,Q,?,113
,Equal,Y,,Neg,,?,114
,Equal,Y,,Q,Pos,?,115
,Equal,Y,,Q,Q,?,116
,Equal,Y,,Q,,?,117
,Equal,Y,,,Pos,?,118
,Equal,Y,,,Q,?,119
,Equal,Y,,,,?,120
,Equal,N,Yes,Pos,Pos,?,121
,Equal,N,Yes,Pos,Q,?,122
,Equal,N,Yes,Pos,,?,123
,Equal,N,Yes,Neg,Pos,?,124
,Equal,N,Yes,Neg,Q,?,125
,Equal,N,Yes,Neg,,?,126
,Equal,N,Yes,Q,Pos,?,127
,Equal,N,Yes,Q,Q,?,128
,Equal,N,Yes,Q,,?,129
,Equal,N,Yes,,Pos,?,130
,Equal,N,Yes,,Q,?,131
